title,imdb_id,release_year_movie,movie_rating,duration_movie,average_star_rating_movie,vote_count_movie,review_text,book_authors,average_rating_book,num_pages_book,ratings_count_book,publication_date_book,publisher_book
The Godfather,tt0068646,1972,R,2h 55m,9.2,2100000,"It is now past 1 PM and I just finished watching Francis Ford Coppola&#39;s &quot;The Godfather&quot;. I should probably go to bed. It&#39;s late and tomorrow I have to wake up a bit early. But not early enough to postpone writing these lines. Now that I have seen it three times, the opportunity of sharing my thoughts and refreshed insights are too much of a good offer to sit on. So, bear with me.This film works so well because it takes place in an underworld in which we are so embedded that we do not even observe it. Coppola puts us straight in the smack-dab center of what is, admittedly, a society made by criminals for criminals. It is also the reason why it&#39;s so welcoming. We are surrounded by its inhabitants--cold-blooded murderers, men who see crime like a 9 to 5 job masquerading as honorable men. And I do mean men. From the outside, we would only witness the horrifying, disturbing manifestations of their well-thought out actions.But it goes even deeper than that. It all revolves around the Corleone family led by Don Vito Corleone (Marlon Brando). He is the most honest of these men, sitting right on the edge. But for people like him, who do not fully embrace this world, it&#39;s not easy. He avoids conflict until it is absolutely necessary. He is a man defined by moral principles. There is a scene at the beginning, in which, during his daughter&#39;s wedding day, one of his associates, Luca Brasi (Lenny Montana) practices his speech that he is going to give to the Don when he meets him. The scene with these two is funny and almost adorable. I could not help but sympathize both of them only to realize that I am feeling warmth for two mobsters. Not to even mention that Lenny Montana was an actual mob hit-man and that he was actually nervous as he said that line.The more I watched the more I realized just how incredibly complex and ruthless this society is and how it has the power to corrupt anyone to come in contact with it. The best example is Corleone&#39;s youngest son, Michael (Al Pacino). He returns home for his sister&#39;s wedding as a war hero dressed the part with his long-time girlfriend, Kay Adams (Diane Keaton). At first, he avoids this underworld, but necessity, first-hand exposure and just its sheer devilish appealing nature draws him in. As we get further in the film, the change is shocking and every outsider who ever got close to him is tainted in one way or another. If they survive it, they are drawn in as well as we are as viewers.Inside, Coppola exposes the family to us fully, with a bold personal approach and we witness every discussion, every methodically calculated choice. Crime is done simply because it is the nature of their business, and we are put on a chair alongside them, so we easily relate. For us, they are the good guys, the rival families are the bad guys. This is the greatest feat this film managed to pull off--set apart good guys and bad guys in a world filled with bad guys.This is a film of unmatched subtlety. No other movie sustains itself as good. No other film is done with such precision, attention and completeness. There are many layers which I probably missed and maybe will never notice. But I felt them. What director Francis Ford Coppola and his partner in crime (poor choice of words, sorry) Mario Puzo did is nothing short of a timeless piece of reference cinema whose influence is not based on reinventing the wheel, but rather perfecting it to the absolute maximum.Most masterpieces are remembered for their historical contributions. &quot;Citizen Kane&quot; brought the biggest step-up to the art form, the same things did &quot;Gone With the Wind&quot; or &quot;2001: A Space Odyssey&quot;. &quot;The Godfather&quot; is one of the few films that will be remembered simply because they are that good and I cannot possibly imagine a greater achievement.",Mario Puzo/Peter Bart/Robert Thompson,4.37,448,180,10/4/05,New American Library
Pride & Prejudice,tt0414387,2005,PG,2h 9m,7.8,352000,"Back in 1995, the definitive version of &quot;Pride and Prejudice&quot; was brought out--and everyone I know who saw that one agrees with me that it is simply the best. Much of it is the acting (having Colin Firth as Darcy isn&#39;t bad) but the biggest reason to adore the made for TV version is that it&#39;s long--very, very long. This allows the story to unfold slowly and is never rushed. Unfortunately, every movie version I&#39;ve seen is just too rushed--and it&#39;s hard to shove this wonderful story into a two-hour time slot. So, no matter how good the 2005 movie is (and it&#39;s quite good), it cannot hope to equal the mini-series. It&#39;s a shame, actually, as there&#39;s so much to like about this Keira Knightly version. The music is great, the locations top-notch and the Bennett girls actually look their proper ages! For example, in the 1940 MGM version, the actual ages of the actresses was their mid-20s to almost 40! And, the Bennetts are supposed to be teenagers (there about)! My advice is go ahead and watch this 2005 film--it&#39;s really very lovely. But then do yourself a favor--find the 1995 version. You&#39;ll be thankful, believe me.",Jane Austen/Vivien Jones,4.26,392,1821,9/1/05,Penguin Books
The Notebook,tt0332280,2004,PG-13,2h 3m,7.8,654000,"My wife and I watched this movie when it was first released and enjoyed it whilst acknowledging its manipulative aspects. I do get the bad reviews. We watched it again today while in lockdown due to coronavirus. We are now in our late 70s. For us the subject of the central relationship was very close to home both in the development of the love of the central characters and in the enduring nature of that love in their twilight years. It&#39;s easy to be cynical about a movie such as this but, boy, does it pack a punch when you&#39;ve lived it.",Nicholas Sparks,4.09,214,1090603,7/5/04,Bantam
A Walk to Remember,tt0281358,2002,PG,1h 41m,7.3,227000,"This was one of the best films I&#39;ve seen lately. Mandy Moore shone in her role as Jamie Sullivan, although never to the point where she became unbelievable. Her singing was fabulous, but it was clear that this was not a film about her singing - too many pop artists starring in films wind up in films about their pop careers, whether real or inferred.The storyline was VERY good. I can&#39;t say too much without spoiling it for everyone else, but take my word for it. You absolutely must watch this film at some point - make sure you grab plenty of tissues though, because if you don&#39;t get emotional towards the end, you must have a heart of stone.All in all, fantastic.",Nicholas Sparks,4.17,240,555995,9/1/04,Grand Central Publishing
I Am Legend,tt0480249,2007,PG-13,1h 41m,7.2,849000,"If I could sum this movie up in one sentence, it would be this: Go Will. Will Smith is the driving force of I Am Legend. His performance as Dr. Robert Neville is impeccable. Living in a deserted NY city, his acting is reminiscent of Tom Hanks in Cast Away, but instead of a volleyball, he has mannequins and a faithful German Shepard named Sam. His basement, a retro-fitted, high-tech lab to find a cure for the disease that has turned the population of the entire planet into mutant, zombie-like, hive mind, blood-thirsty monsters, and, for some reason, Robert is immune. His days, spent hunting. His nights, sleeping with a high-powered rifle and hoping that the mutants don&#39;t find him. Keeping the movie flowing are well placed flashbacks that show what happened to Robert&#39;s family and why he is there. The movie falters a bit at the end, maybe at the last 5 minutes, but it doesn&#39;t ruin the plot or acting put forth. Containing wonderful cinematography and CG, I Am Legend is a spectacular film that I will be seeing again! PS - Shout out to my NY National Guardsmen in this film! Great job!",Richard Matheson,4.07,160,55751,1/21/99,Millenium
Perfume: The Story of a Murderer,tt0396171,2006,R,2h 27m,7.5,273000,"With &quot;The Perfume&quot; it&#39;s like with any blockbuster movie: if the critics praise it, it&#39;s horrible - if the critics hate it, it&#39;s brilliant.I had the chance to watch a preview of &quot;The Perfume&quot; tonight and I was very surprised: this movie is really good! Okay, it can&#39;t actually make you smell all the scents and odours, but the images and the music allow you to experience the atmosphere and the emotions Grenouille is feeling when he takes in the scents of his environment. You couldn&#39;t have done this much better without the use of real scents at theatres.Although much of the story is told by a narrative voice (mostly quotes from the novel), the movie is still thrilling and exciting all the way. It&#39;s a very good adaption of Süskind&#39;s novel, sticking to the original plot concerning the major events, leaving away unnecessary subplots (although it&#39;s a pity that funny &quot;lethal gas&quot;-plot was cut out!) and shortening long passages. The result is well-constructed movie that is worth seeing.The actors, especially Whishaw who plays Grenouille, have done a very good job. Like in the novel, Grenouille is an ambivalent character and you never know whether to love him for his genius talent or to hate him for his cruel murders. Whishaw&#39;s half-crazy, scary gaze made me shiver. Dustin Hoffman as old and unsuccessful parfumeur Baldini was very convincing... I loved the way he talks to Grenouille arrogantly although he recognizes how much more talent the young man has. Baldini is always good for a laugh.The only thing to criticize is that the movie is not as brutal as the novel. I think they wanted to avoid the FSK 16 rating and so didn&#39;t show much violence, which in my opinion would have been necessary if you wanted the movie to have the same shocking impact on the audience as the novel. For example I was really shocked by the end of the novel - in the movie you hardly see what happens.However, it&#39;s really a thrilling story visualized excellently - go to the movies and watch &quot;The Perfume&quot;! You won&#39;t be disappointed.",Patrick Süskind/John E. Woods,4.02,255,1124,2/13/01,Vintage International
The Devil Wears Prada,tt0458352,2006,PG-13,1h 49m,6.9,499000,"We in the United States like to believe that we reside in a country without royalty and nobility. The only people who think that there is true egalitarianism have never worked in the Entertainment and Media Industries. There is an aristocratic elite, no question, and it is not exactly made up of politicians (although there are some). It is largely composed of those who control media, particularly in television, film, radio, music, fashion, and print. They control what get&#39;s seen and what doesn&#39;t. When these people put on huge events that involve the press, cameras, and limousines, the public comes out to pay unquestioned homage to these elites, often on the sideline behind a barricade. With cameras flashing, these people are treated like the royalty of the 17th and 18th centuries. &quot;The Devil Wears Prada&quot; examines what is like to be in the inner circle of one of these elites.In addition to the public&#39;s clamoring to glimpse these powerful elites, another segment of the population desires to become one of these people by trying to &quot;break into&quot; the media business. Since there are many more people who dream of being in these circles than there are spots available, this gives enormous power to those already on the inside, particularly those who have sway to either make or break an up-and-coming career. &quot;The Devil Wears Prada&quot; chronicles an aspiring journalist who lands a dream job that, she is told, &quot;thousands would kill for&quot;: being the personal assistant to the editor of one of the largest fashion magazines, Runway, whose editor-in-chief makes Bill Gates seem like a softy. The character, Miranda Priestly (played by Meryl Streep in a tour-de-force Oscar-nominated performance) is in fact modeled after real-life Vogue Magazine editor Anna Wintour whose chilling detachment from those around her, her ability to make or break fashion careers, and her cut-throat demands on her staff have become legendary throughout the fashion world.In the film, the corporation that is &quot;Runway&quot; is no democracy. It is feudalism, with Mirander the absolute queen ruling over her dominion of serfs who constantly scatter about trying to please her. The central character, Andy Sachs, is plunged into this Madison Avenue purgatory without knowing the rules of the game. A journalism-major from Northwestern, Andy knows next to nothing about the fashion world, but it&#39;s not just the fashion world--it&#39;s the world of the elite in New York. Since everyone wants to gain favor from the higher-ups in order to step up the ladder, there&#39;s often over-the-top deference to those in elite positions. I half-expected her female assistants to curtsy when Mirander entered the office. Mirander knows perfectly-well her status and she uses it, often flaunts it, to her advantage. Her staff run around like castle servants anticipating the arrival of the Lady of the Manor.Streep is magnificent as her voice never reaches past mezzo-piano. When one of her staff has transgressed, or simply cannot fulfill her expectation (I doubt Superman could hold a job there), in the softest tone possible she expresses her disappointment. And yet, the anticipation of her negative reaction is what makes for moments of anti-gravitational intensity. Of course, she never compliments anyone when they&#39;ve done well. Excellent performance is taken for granted in this kingdom. I&#39;ve never found the raging tyrant frightening. Rather, it is the even-tempered soft-spoken empress with absolute power who sends anyone who to displeases her to the block with a disinterested wave of the figure that is the most terrifying.At one point in the film, Andy chuckles when Miranda fusses over some seemingly identical-looking belts which of course spawns a lecture about how Andy&#39;s current wardrobe was in fact created by the fashion elite. This does point to another side of the fashion facade which I think may be the point of the film. If you take away the cameras, the celebrities, the allure, the models posing in museums wearing the latest by Christian Dior, at the end of the day all this is about is just jackets, belts, purses, skirts, dresses, and pants. I think one of the characters says as much. These clothes may look wonderful, even stunning, but that&#39;s all they are. They are lifeless pieces of fabric cut in a certain way to make the wearer look appealing but that&#39;s all it is. The fashion industry of course needs to perpetuate the idea that clothing is much more than clothing: that beautiful fashions will create fairy-tale existences for the purchasers. They are meant to represent a life of luxury and splendor and the purchase of these articles will bring you closer to that reality. When it doesn&#39;t, you need to buy more of these clothes. And you need to read Runway (aka Vogue) to tell you what you should buy. Of course, the only ones who actually have these fairy tale existences are the ones providing the clothes. Most of the people buying these fashions are still behind the barricade. Is there an irony here?",Lauren Weisberger,3.74,432,744569,5/30/06,Anchor Books
Bridge to Terabithia,tt0398808,2007,PG,1h 36m,7.2,182000,"When I sat down to watch Bridge to Terabithia, I did not know quite what to expect. From what I had seen in the trailers, I thought the movie would be about two kids that end up in some magical world, similar to the Chronicles of Narnia (clearly, I did not read the book). Needless to say that I was surprised when actually seeing the movie. I shall not spoil the story for those who have yet to see the movie, but I will say that, in my opinion, this movie is for a more mature audience than one would think. Rather than being a fairytale for youngsters, the movie actually gives the viewer an inside look in a young boy&#39;s life and all the troubles he faces, concerning school, family and friends. The setting overall was a lot darker than expected as well. I can be short about the acting. The child-stars that play the lead roles did a great job and really brought the characters to life. On this subject I must give some credit to the director as well, as it is very difficult to work with children and to get them to play the part exactly the way you want them too. One final aspect of the movie that deserves mentioning is the fact that it does not lean on special effects. Although there is a fair amount of nice CGI present in the film, the story dominates. Which in my opinion, is a lot better than the other way around. Overall, I found the movie very enjoyable, but I would advise parents of young children to find out more about the movie, before deciding on whether or not you&#39;ll let your kids watch it.",Katherine Paterson/Donna Diamond,4.0,191,1811,7/1/08,HarperTeen
P.S. I Love You,tt0431308,2007,PG-13,2h 6m,7.0,222000,"I saw this movie on a girls-night-out to the movies, and we chose it on the basis of the previews, which had billed it as a romantic comedy. Wow, were they ever wrong! The basic plot is this: Woman loses husband far too early and tragically. Woman grieves for husband, hard. Husband, through a plan pre-arranged before his death, sends woman letters at set intervals, each one causing a fresh stream of tears to fall.The acting was great. Hillary Swank was particularly good in her role, and let us see her vulnerability and conflicting emotions. The supporting cast was all excellent, and ladies, there is more than enough male eye candy in this movie to go around.But - and I strongly warn all of you considering this as a light comedy or a date movie - it&#39;s sad. Very very sad. Even the happy parts are sad. If you go see this, wear waterproof mascara and bring lots of tissues. Don&#39;t say I didn&#39;t warn you.",Valerie Parv,2.83,192,23,4/24/95,Harlequin Romance
My Sister's Keeper,tt1078588,2009,PG-13,1h 49m,7.3,101000,"80/100. This was so much more interesting than I was expecting. It tackles several issues and does so with finesse and without the over the top melodrama movies of this type so often have. It&#39;s touching, thought provoking and it is certainly not predictable. Nick Cassavettes deserves a lot of credit for creating a film that faces the issues without getting too maudlin and does so with sensitivity and objectiveness. The performances are good from everyone. The casting of Cameron Diaz isn&#39;t perhaps the best, but I admire the effort she put into the role. She did very well. The character development is outstanding, you get to know each character and you understand each of their perspectives. Joan Cusack is particularly affecting in an offbeat role for her. Good score, the subtle cinematography is effective.",Mavis Applewater,3.86,252,89,3/9/04,Limitless Corporation
