imdb_id,movie_title,average_star_rating_movie,release_year_movie,vote_count_movie,duration_movie,movie_rating,review_text
tt0109830,1. Forrest Gump,8.8,1994,2400000.0,2h 22m,PG-13,When I first saw this movie I didn&#39;t appreciate it like I do now. I think it may have been because I was so young when I first saw it. Just recently I saw the movie again. What an amazing story and moving meaning. That movie teaches you so much about life and the meaning of it. That life isn&#39;t as bad as most people make it seem. That an innocent man can impact so many lives with his innocence. The meaning of the movie to me is that everyone needs to have a better outlook on life. That we need to appreciate more of the little things and not let the big things hold us back. That truly although life may throw us trials and tribulations like a box of chocolates but that we have to just bite into it and get through it even if we don&#39;t like it. That we all need to hold true to our values and not sink into a place that feels like there&#39;s no hope... I just love this movie. And anyone who hasn&#39;t seen it or who thinks that don&#39;t like it I seriously suggest seeing it or seeing it again. It truly is amazing...
tt0068646,2. The Godfather,9.2,1972,2100000.0,2h 55m,R,"It is now past 1 PM and I just finished watching Francis Ford Coppola&#39;s &quot;The Godfather&quot;. I should probably go to bed. It&#39;s late and tomorrow I have to wake up a bit early. But not early enough to postpone writing these lines. Now that I have seen it three times, the opportunity of sharing my thoughts and refreshed insights are too much of a good offer to sit on. So, bear with me.This film works so well because it takes place in an underworld in which we are so embedded that we do not even observe it. Coppola puts us straight in the smack-dab center of what is, admittedly, a society made by criminals for criminals. It is also the reason why it&#39;s so welcoming. We are surrounded by its inhabitants--cold-blooded murderers, men who see crime like a 9 to 5 job masquerading as honorable men. And I do mean men. From the outside, we would only witness the horrifying, disturbing manifestations of their well-thought out actions.But it goes even deeper than that. It all revolves around the Corleone family led by Don Vito Corleone (Marlon Brando). He is the most honest of these men, sitting right on the edge. But for people like him, who do not fully embrace this world, it&#39;s not easy. He avoids conflict until it is absolutely necessary. He is a man defined by moral principles. There is a scene at the beginning, in which, during his daughter&#39;s wedding day, one of his associates, Luca Brasi (Lenny Montana) practices his speech that he is going to give to the Don when he meets him. The scene with these two is funny and almost adorable. I could not help but sympathize both of them only to realize that I am feeling warmth for two mobsters. Not to even mention that Lenny Montana was an actual mob hit-man and that he was actually nervous as he said that line.The more I watched the more I realized just how incredibly complex and ruthless this society is and how it has the power to corrupt anyone to come in contact with it. The best example is Corleone&#39;s youngest son, Michael (Al Pacino). He returns home for his sister&#39;s wedding as a war hero dressed the part with his long-time girlfriend, Kay Adams (Diane Keaton). At first, he avoids this underworld, but necessity, first-hand exposure and just its sheer devilish appealing nature draws him in. As we get further in the film, the change is shocking and every outsider who ever got close to him is tainted in one way or another. If they survive it, they are drawn in as well as we are as viewers.Inside, Coppola exposes the family to us fully, with a bold personal approach and we witness every discussion, every methodically calculated choice. Crime is done simply because it is the nature of their business, and we are put on a chair alongside them, so we easily relate. For us, they are the good guys, the rival families are the bad guys. This is the greatest feat this film managed to pull off--set apart good guys and bad guys in a world filled with bad guys.This is a film of unmatched subtlety. No other movie sustains itself as good. No other film is done with such precision, attention and completeness. There are many layers which I probably missed and maybe will never notice. But I felt them. What director Francis Ford Coppola and his partner in crime (poor choice of words, sorry) Mario Puzo did is nothing short of a timeless piece of reference cinema whose influence is not based on reinventing the wheel, but rather perfecting it to the absolute maximum.Most masterpieces are remembered for their historical contributions. &quot;Citizen Kane&quot; brought the biggest step-up to the art form, the same things did &quot;Gone With the Wind&quot; or &quot;2001: A Space Odyssey&quot;. &quot;The Godfather&quot; is one of the few films that will be remembered simply because they are that good and I cannot possibly imagine a greater achievement."
tt0120737,3. The Lord of the Rings: The Fellowship of the Ring,8.9,2001,2100000.0,2h 58m,PG-13,"Simply incredible. Never before have I seen a 3 hour movie that didn&#39;t seem like 3 hours. I read the Lord of the Rings very recently and I was surprised at how similar Peter Jackson&#39;s vision was to my own.Now about the omissions and alterations. I&#39;m not a crazed fanatic who gets worked up over every little detail. I didn&#39;t mind Arwen&#39;s inflation and I&#39;m actually glad Tom Bombadil was scrubbed (I felt Tom Bombadil was an unnecessary addition to the book). Despite these minor changes, the screenplay stays extremely close to the book and flows very very well (and the prologue was a nice touch).The acting was flawless. As I&#39;ve read many many times in other reviews, McKellen doesn&#39;t play Gandalf, he IS Gandalf. Wood, Mortensen, Holm, Astin, everyone was fantastic. My hat&#39;s off to Sean Bean who delivers an excellent performance as Boromir, a character who&#39;s intentions are good but wrestles with the corrupting power of the Ring. Bean portrays it VERY well. Oh, and Andy Serkis does a PERFECT Gollum voice. It&#39;s EXACTLY as I imagined it myself.The special effects were incredible, the cave troll, the balrog, Gollum, and Sauron&#39;s Eye all looked amazing. I was also very impressed by the seamless shrinking of the vertically challenged characters.What&#39;s wrong with this movie? I have no idea... I thought everything was perfect. MY biggest gripe is having to wait an entire year to see The Two Towers!"
tt0167260,4. The Lord of the Rings: The Return of the King,9.0,2003,2100000.0,3h 21m,PG-13,"This movie, and trilogy in general, is a cinematic (and literary) masterpiece, and simply refuses to get old. I love this movie so much it&#39;s become a tradition to watch the Lord of the Rings series at least once a year! It&#39;s just as good as Christmas"
tt0167261,5. The Lord of the Rings: The Two Towers,8.8,2002,1900000.0,2h 59m,PG-13,"Peter Jackson truly outdid himself when creating the Lord of the Rings: The Fellowship of the Ring and he fails to disappoint us in the 2nd part of the Trilogy. The Two Towers shows us that he is not a one-hit wonder, like so many directors are. I actually think that The Two Towers reaches the same level as the Fellowship of the Ring, and sometimes even surpasses it.This film is the biggest film in the trilogy. What do I mean by that? Well this film has so many things going like the amazing Battle of Helms Deep. Frodo and Sam journey to Mount Doom, to destroy the Ring. But the one who&#39;s leading them through the way is Gollum, he looks so creepy and realistic, that he doesn&#39;t feel disconnected from us. A powerful performance by Andy Serkis as Gollum, he should of been nominated for an Oscar for Best Supporting Actor.The Best part of the film, is quite easily and everyone knows it the ending. The ending of the battle of Helm&#39;s Deep is quite breathtaking, and as Gandalf the White comes in the distance with another army to defeat the Orcs. When Treebeard and his army of Entz tear down Isengard, the destruction and the battle is so immense in size, that you truly have to see to believe.In size and scale, Peter Jackson has truly redefined the word &quot;epic&quot; and he also pays attention to the small things that truly elevate this movie from great to amazing. I definitely recommend this film to everyone, but you really should watch the first movie to truly understand what&#39;s going on.10/10"
tt0914798,6. The Boy in the Striped Pajamas,7.7,2008,262000.0,1h 34m,PG-13,"I was so excited my theater got The Boy in the Striped Pyjamas, from the moment I saw this trailer, I knew I was in for a treat. This movie just looked incredible, even though it&#39;s a touchy subject with the holocaust, it still looked like it was going to be a great story. Everyone always makes a comment about the innocence of childhood, what it was like to just not have reason, to just go with the flow of things before adults tell you what you have to do. So I watched The Boy in the Striped Pyjamas today and this movie seriously is one of the saddest films I have ever seen, but I felt it was very maturely handled. The actors are great and the story is very touching, to watch these two boys from two completely different worlds who come together just to have fun, be boys, not because of the difference of their background.Set during World War II, a story seen through the innocent eyes of Bruno, the eight-year-old son of the commandant at a concentration camp, whose forbidden friendship with a Jewish boy on the other side of the camp fence. The boys have a great friendship talking every day, enjoying the company. But when the father gives Bruno a Nazi propaganda loving tutor, Bruno becomes confused, is his father an evil man or is his friend the evil one? Love his country and do his duty or don&#39;t judge and just stay true to his friend? Bruno must decide all this with some scary consequences ahead of him.The Boy in the Striped Pyjamas is a fantastic film, though if you see it, I do recommend bringing the tissues. I couldn&#39;t believe the chemistry they had with these two young actors, they worked so well together as these innocent boys who both have no idea what&#39;s going on. Bruno doesn&#39;t know why his friend is behind fences, and his friend doesn&#39;t know why he&#39;s there either. The ending is extremely powerful and the story keeps you interested. I do recommend seeing The Boy in the Striped Pyjamas, it&#39;s a treasure from 2008.9/10"
tt0414387,7. Pride & Prejudice,7.8,2005,352000.0,2h 9m,PG,"Back in 1995, the definitive version of &quot;Pride and Prejudice&quot; was brought out--and everyone I know who saw that one agrees with me that it is simply the best. Much of it is the acting (having Colin Firth as Darcy isn&#39;t bad) but the biggest reason to adore the made for TV version is that it&#39;s long--very, very long. This allows the story to unfold slowly and is never rushed. Unfortunately, every movie version I&#39;ve seen is just too rushed--and it&#39;s hard to shove this wonderful story into a two-hour time slot. So, no matter how good the 2005 movie is (and it&#39;s quite good), it cannot hope to equal the mini-series. It&#39;s a shame, actually, as there&#39;s so much to like about this Keira Knightly version. The music is great, the locations top-notch and the Bennett girls actually look their proper ages! For example, in the 1940 MGM version, the actual ages of the actresses was their mid-20s to almost 40! And, the Bennetts are supposed to be teenagers (there about)! My advice is go ahead and watch this 2005 film--it&#39;s really very lovely. But then do yourself a favor--find the 1995 version. You&#39;ll be thankful, believe me."
tt0332280,8. The Notebook,7.8,2004,654000.0,2h 3m,PG-13,"My wife and I watched this movie when it was first released and enjoyed it whilst acknowledging its manipulative aspects. I do get the bad reviews. We watched it again today while in lockdown due to coronavirus. We are now in our late 70s. For us the subject of the central relationship was very close to home both in the development of the love of the central characters and in the enduring nature of that love in their twilight years. It&#39;s easy to be cynical about a movie such as this but, boy, does it pack a punch when you&#39;ve lived it."
tt0421715,9. The Curious Case of Benjamin Button,7.8,2008,721000.0,2h 46m,PG-13,"F. Scott Fitzgerald&#39;s short story &#39;The Curious Case of Benjamin Button&#39; has been transformed into a splendid film by David Fincher. A marvelously made film, The Curious Case of Benjamin Button is one of the best movies of 2008. The cast is terrific and director David Fincher beautifully puts together the tale of Benjamin&#39;s life. The only large flaw many will find is that the concept of the film&#39;s premise seems too unrealistic.The film tells the life of Benjamin Button (Brad Pitt). Born as an old man, Benjamin ages backwards; gradually getting younger as those around him age normally. Benjamin is abandoned at birth and picked up at an old-age home. As a child - or rather as a hunched over 80 year old - he meets a girl named Daisy (Cate Blanchett). Together they engage in innocent child games, and through this they develop a special connection. As Benjamin goes off into the world, Daisy continues to grow up, later pursuing her dream of dancing. Benjamin joins a crew and sails round the world, ending up in Russia. Then, after Pearl Harbor, Benjamin joins in the war effort, following battles across the north Pacific and only engaging in one combat situation.Returning to New Orleans, Benjamin has grown taller, lost many of his wrinkles, and grown more hair. The visual effects are spectacular in following Brad Pitt through the various stages of his life. From an old man to a young teen, Benjamin always resembles Pitt. Upon arrival in his childhood home, Benjamin learns that many of the tenants he knew have passed on. This is the tragedy of aging backwards, those you knew continue to age forward as they exit this world while you do the opposite. Benjamin also meets Daisy again, who after many years has become a successful dancer and has blossomed into a beautiful young woman. Long gone is the innocence of childhood, and Daisy has become intimate with many men in New York City. Missing by an inch, she and Benjamin do not initiate a relationship until later in the film.Narrated from the present, The Curious Case of Benjamin Button starts with Daisy&#39;s daughter reading Benjamin&#39;s diary to her mother in a hospital on the cusp of Hurricane Katrina. This allows the narration to occasionally halt for an elderly Daisy to comment on events of her life. A key motif running throughout this film is time. Beginning and ending with sequences about the same clock, David Fincher seems to allude to the notion that things fade, and that we must hold on to the things we love in the time we have with them.The Curious Case of Benjamin Button is a fantastic film. Beautifully created, David Fincher paints an image of the south of the United States in the early 1900s which seems both realistic and fantastical. The film also illustrates war, travel, death, and many of the other events of life. Brad Pitt shows emotional depth as Benjamin, and Cate Blanchett is terrific as Daisy. It is surprising how much we can take away from a 166 minute movie, the audience feels as if they have known Benjamin and Daisy for all of their lives. While some may question the premise of the film, arguing that time is linear and that the plot is therefore incoherent, there can be no arguing that this film does its best to develop human relationships and to establish emotional connections between characters. As Roger Ebert once said, &quot;A film is not about its subject; it&#39;s about how it&#39;s about its subject&quot;, and The Curious Case of Benjamin Button certainly handles its subject material splendidly."
tt0281358,10. A Walk to Remember,7.3,2002,227000.0,1h 41m,PG,"This was one of the best films I&#39;ve seen lately. Mandy Moore shone in her role as Jamie Sullivan, although never to the point where she became unbelievable. Her singing was fabulous, but it was clear that this was not a film about her singing - too many pop artists starring in films wind up in films about their pop careers, whether real or inferred.The storyline was VERY good. I can&#39;t say too much without spoiling it for everyone else, but take my word for it. You absolutely must watch this film at some point - make sure you grab plenty of tissues though, because if you don&#39;t get emotional towards the end, you must have a heart of stone.All in all, fantastic."
tt0480249,11. I Am Legend,7.2,2007,849000.0,1h 41m,PG-13,"If I could sum this movie up in one sentence, it would be this: Go Will. Will Smith is the driving force of I Am Legend. His performance as Dr. Robert Neville is impeccable. Living in a deserted NY city, his acting is reminiscent of Tom Hanks in Cast Away, but instead of a volleyball, he has mannequins and a faithful German Shepard named Sam. His basement, a retro-fitted, high-tech lab to find a cure for the disease that has turned the population of the entire planet into mutant, zombie-like, hive mind, blood-thirsty monsters, and, for some reason, Robert is immune. His days, spent hunting. His nights, sleeping with a high-powered rifle and hoping that the mutants don&#39;t find him. Keeping the movie flowing are well placed flashbacks that show what happened to Robert&#39;s family and why he is there. The movie falters a bit at the end, maybe at the last 5 minutes, but it doesn&#39;t ruin the plot or acting put forth. Containing wonderful cinematography and CG, I Am Legend is a spectacular film that I will be seeing again! PS - Shout out to my NY National Guardsmen in this film! Great job!"
